vessel_id,vessel_name,timestamp,latitude,longitude,speed,heading
IMO9000001,MT Aurora,2026-08-25T09:45:00Z,18.9700,72.8500,12.0,68
IMO9000001,MT Aurora,2026-08-25T10:00:00Z,18.9620,72.8640,11.8,73
IMO9000001,MT Aurora,2026-08-25T10:15:00Z,18.9550,72.8770,10.9,78
IMO9000001,MT Aurora,2026-08-25T10:22:00Z,18.9534,72.8818,9.0,101
IMO9000001,MT Aurora,2026-08-25T10:40:00Z,18.9460,72.8940,10.5,118
IMO9000002,MV Seaway,2026-08-25T09:40:00Z,18.9800,72.8200,11.2,67
IMO9000002,MV Seaway,2026-08-25T10:00:00Z,18.9690,72.8410,11.5,67
IMO9000002,MV Seaway,2026-08-25T10:20:00Z,18.9580,72.8620,10.6,67
IMO9000002,MV Seaway,2026-08-25T10:35:00Z,18.9490,72.8790,10.4,67
IMO9000002,MV Seaway,2026-08-25T10:50:00Z,18.9390,72.8980,10.3,67
IMO9000003,Ocean Crest,2026-08-25T09:30:00Z,18.9300,72.9100,7.0,290
IMO9000003,Ocean Crest,2026-08-25T09:50:00Z,18.9370,72.9000,7.2,300
IMO9000003,Ocean Crest,2026-08-25T10:10:00Z,18.9440,72.8910,7.0,305
IMO9000003,Ocean Crest,2026-08-25T10:29:00Z,18.9500,72.8860,6.8,315
IMO9000003,Ocean Crest,2026-08-25T10:48:00Z,18.9600,72.8800,7.1,330
IMO9000004,Blue Horizon,2026-08-25T09:20:00Z,19.0200,72.9000,13.0,145
IMO9000004,Blue Horizon,2026-08-25T10:00:00Z,19.0000,72.9100,13.2,145
IMO9000004,Blue Horizon,2026-08-25T10:40:00Z,18.9800,72.9200,13.0,145
IMO9000005,Coastal Star,2026-08-25T09:55:00Z,18.9400,72.8600,0.4,90
IMO9000005,Coastal Star,2026-08-25T10:15:00Z,18.9420,72.8700,0.5,90
IMO9000005,Coastal Star,2026-08-25T10:45:00Z,18.9430,72.8750,0.3,90
IMO9000006,Pacific Meridian,2026-08-25T09:45:00Z,18.9000,72.8200,14.0,45
IMO9000006,Pacific Meridian,2026-08-25T10:30:00Z,18.9200,72.8450,14.2,45
IMO9000006,Pacific Meridian,2026-08-25T11:15:00Z,18.9400,72.8700,14.1,45
IMO9000007,Silver Wave,2026-08-25T09:30:00Z,19.0400,72.8300,9.0,120
IMO9000007,Silver Wave,2026-08-25T10:30:00Z,19.0100,72.8600,9.3,120
IMO9000007,Silver Wave,2026-08-25T11:30:00Z,18.9800,72.8900,9.1,120
IMO9000008,Harbor Trader,2026-08-25T09:20:00Z,18.9000,72.9500,8.5,240
IMO9000008,Harbor Trader,2026-08-25T10:20:00Z,18.9200,72.9300,8.2,240
IMO9000008,Harbor Trader,2026-08-25T11:20:00Z,18.9400,72.9100,8.0,240
IMO9000009,Northwind,2026-08-25T08:30:00Z,18.9540,72.8840,9.8,100
IMO9000009,Northwind,2026-08-25T09:00:00Z,18.9580,72.8900,9.7,100
IMO9000009,Northwind,2026-08-25T10:35:00Z,18.9700,72.9100,9.9,100
IMO9000010,Delta Runner,2026-08-25T09:50:00Z,18.8800,72.8700,16.0,15
IMO9000010,Delta Runner,2026-08-25T10:30:00Z,18.9000,72.8850,16.1,15
IMO9000010,Delta Runner,2026-08-25T11:10:00Z,18.9200,72.9000,16.0,15
